State,District,Market,Commodity,Min Price,Max Price,Modal Price
Himachal Pradesh,Kangra,Palampur,Plum,5000,6000,5500
Himachal Pradesh,Kangra,Palampur,Potato,1700,2100,1900
Himachal Pradesh,Kangra,Palampur,Pumpkin,1500,2500,2000
Himachal Pradesh,Kangra,Palampur,Raddish,2200,2500,2350
Himachal Pradesh,Kangra,Palampur,Spinach,4500,5000,4750
Himachal Pradesh,Kangra,Palampur,Sponge gourd,3000,3500,3250
Himachal Pradesh,Kangra,Palampur,Tinda,4500,5000,4750
Kerala,Alappuzha,Harippad,Amaranthus,4000,4500,4000
Kerala,Alappuzha,Harippad,Amphophalus,5000,5500,5000
Kerala,Alappuzha,Harippad,Ashgourd,3000,3500,3000
Kerala,Alappuzha,Harippad,Banana,5000,5500,5000
Kerala,Alappuzha,Harippad,Banana - Green,3000,3500,3000
Kerala,Alappuzha,Harippad,Beetroot,4000,4500,4000
Kerala,Alappuzha,Harippad,Bhindi(Ladies Finger),4000,4500,4000
Kerala,Alappuzha,Harippad,Bitter gourd,5000,5500,5000
Kerala,Alappuzha,Harippad,Bottle gourd,2000,2500,2000
Kerala,Alappuzha,Harippad,Brinjal,3000,3500,3000
Kerala,Alappuzha,Harippad,Cabbage,3000,3500,3000
Kerala,Alappuzha,Harippad,Capsicum,9000,9500,9000
Kerala,Alappuzha,Harippad,Carrot,6000,6500,6000
Kerala,Alappuzha,Harippad,Cauliflower,4000,4500,4000
Kerala,Alappuzha,Harippad,Colacasia,6000,6400,6000
Kerala,Alappuzha,Harippad,Cowpea(Veg),4000,4500,4000
Kerala,Alappuzha,Harippad,Cucumbar(Kheera),2000,2500,2000
Kerala,Alappuzha,Harippad,Drumstick,5000,5500,5000
Nagaland,Kohima,Jalukie,Bitter gourd,8100,8300,8200
Nagaland,Kohima,Jalukie,Bottle gourd,5400,5600,5500
Nagaland,Kohima,Jalukie,Brinjal,8600,8800,8700
Nagaland,Kohima,Jalukie,Cabbage,7000,7200,7100
Nagaland,Kohima,Jalukie,Ginger(Green),6400,6600,6500
Nagaland,Kohima,Jalukie,Green Chilli,20400,20600,20500
Nagaland,Kohima,Jalukie,Leafy Vegetable,9000,9300,9200
Nagaland,Kohima,Jalukie,Onion,11100,11300,11200
Nagaland,Kohima,Jalukie,Potato,11200,11400,11300
Nagaland,Kohima,Jalukie,Pumpkin,4400,4600,4500
Nagaland,Kohima,Jalukie,Tomato,13000,13200,13100
Odisha,Dhenkanal,Hindol,Banana - Green,2000,2500,2200
Odisha,Dhenkanal,Hindol,Bhindi(Ladies Finger),4000,4500,4200
Odisha,Dhenkanal,Hindol,Bitter gourd,4400,4600,4500
Odisha,Dhenkanal,Hindol,Brinjal,4000,5000,4500
Odisha,Dhenkanal,Hindol,Cucumbar(Kheera),3500,4000,3800
Odisha,Dhenkanal,Hindol,Drumstick,4500,5000,4800
Odisha,Dhenkanal,Hindol,Onion,2000,2500,2200
Odisha,Dhenkanal,Hindol,Pointed gourd (Parval),4000,4500,4200
Odisha,Dhenkanal,Hindol,Potato,1800,2000,1900
Odisha,Dhenkanal,Hindol,Pumpkin,1200,1400,1300
Odisha,Dhenkanal,Hindol,Ridgeguard(Tori),3000,3500,3200
Odisha,Dhenkanal,Hindol,Snakeguard,2500,3000,2800
Odisha,Dhenkanal,Hindol,Tomato,11000,12000,11500
Punjab,Amritsar,Mehta,Bhindi(Ladies Finger),1500,1500,1500
Punjab,Amritsar,Mehta,Bitter gourd,1800,1800,1800
Punjab,Amritsar,Mehta,Bottle gourd,2500,2500,2500
Punjab,Amritsar,Mehta,Brinjal,3200,3200,3200
Punjab,Amritsar,Mehta,Carrot,2300,2300,2300
Punjab,Amritsar,Mehta,Ridgeguard(Tori),3000,3000,3000
Punjab,Amritsar,Rayya,Bhindi(Ladies Finger),3500,3500,3500
Punjab,Amritsar,Rayya,Brinjal,2800,2800,2800
Punjab,Amritsar,Rayya,Cauliflower,1800,1800,1800
Punjab,Amritsar,Rayya,Green Chilli,2900,2900,2900
Punjab,Amritsar,Rayya,Onion,2000,2000,2000
Punjab,Amritsar,Rayya,Potato,1800,1800,1800
Punjab,Amritsar,Rayya,Raddish,1500,1500,1500
Punjab,Amritsar,Rayya,Tomato,1500,1500,1500
Rajasthan,Chittorgarh,Kapasan,Wheat,2150,2350,2250
Rajasthan,Rajasamand,Rajasamand,Onion,1000,1200,1100
Rajasthan,Rajasamand,Rajasamand,Potato,1000,1400,1200
Rajasthan,Rajasamand,Rajasamand,Tomato,10000,12000,11000
Tripura,North Tripura,Dasda,Bhindi(Ladies Finger),3000,4000,3500
Tripura,North Tripura,Dasda,Brinjal,2500,3500,3000
Tripura,North Tripura,Dasda,Green Chilli,15000,20000,17500
Tripura,North Tripura,Dasda,Onion,2000,4000,3000
Tripura,North Tripura,Dasda,Potato,1800,2500,2150
Tripura,North Tripura,Dasda,Rice,3200,3400,3300
Tripura,North Tripura,Kanchanpur,Bhindi(Ladies Finger),3000,4000,3500
Tripura,North Tripura,Kanchanpur,Bitter gourd,4000,5000,4500
Tripura,North Tripura,Kanchanpur,Brinjal,2000,3000,2500
Tripura,North Tripura,Kanchanpur,Cowpea(Veg),2000,3000,2500
Tripura,North Tripura,Kanchanpur,Green Chilli,10000,15000,12500
Tripura,North Tripura,Kanchanpur,Masur Dal,8000,12000,10000
Tripura,North Tripura,Kanchanpur,Onion,3000,4000,3500
Tripura,North Tripura,Kanchanpur,Potato,2000,3000,2500
Tripura,North Tripura,Kanchanpur,Rice,3400,5000,4200
Uttar Pradesh,Baghpat,Baraut,Apple,4700,4900,4800
Uttar Pradesh,Baghpat,Baraut,Banana - Green,1000,1100,1050
Uttar Pradesh,Baghpat,Baraut,Bottle gourd,950,1050,1000
Uttar Pradesh,Baghpat,Baraut,Cucumbar(Kheera),1900,2000,1950
Uttar Pradesh,Baghpat,Baraut,Green Chilli,2300,2400,2350
Uttar Pradesh,Baghpat,Baraut,Onion,1100,1200,1150
Uttar Pradesh,Baghpat,Baraut,Potato,1300,1400,1350
Uttar Pradesh,Baghpat,Baraut,Pumpkin,600,700,650
Uttar Pradesh,Baghpat,Baraut,Raddish,600,700,650
Uttar Pradesh,Baghpat,Baraut,Sponge gourd,1100,1200,1150
Uttar Pradesh,Bulandshahar,Gulavati,Bhindi(Ladies Finger),2400,2600,2500
Uttar Pradesh,Bulandshahar,Gulavati,Bitter gourd,2800,3000,2900
Uttar Pradesh,Bulandshahar,Gulavati,Bottle gourd,1000,1200,1100
Uttar Pradesh,Bulandshahar,Gulavati,Brinjal,700,900,800
Uttar Pradesh,Bulandshahar,Gulavati,Cauliflower,1000,1200,1100
Uttar Pradesh,Bulandshahar,Gulavati,Colacasia,1400,1600,1500
Uttar Pradesh,Bulandshahar,Gulavati,Cucumbar(Kheera),1300,1500,1400
Uttar Pradesh,Bulandshahar,Gulavati,Garlic,3400,3600,3500
Uttar Pradesh,Bulandshahar,Gulavati,Ginger(Green),3000,3200,3100
Uttar Pradesh,Bulandshahar,Gulavati,Green Chilli,1600,1800,1700
Uttar Pradesh,Bulandshahar,Gulavati,Onion,2000,2200,2100
Uttar Pradesh,Bulandshahar,Gulavati,Potato,700,800,750
Uttar Pradesh,Bulandshahar,Gulavati,Pumpkin,750,850,800
Uttar Pradesh,Bulandshahar,Gulavati,Sponge gourd,1100,1300,1200
Uttar Pradesh,Hathras,Shadabad,Onion,900,1000,950
Uttar Pradesh,Hathras,Shadabad,Potato,750,850,800
Uttar Pradesh,Meerut,Sardhana,Banana - Green,900,1000,950
Uttar Pradesh,Meerut,Sardhana,Green Chilli,1600,1700,1650
Uttar Pradesh,Meerut,Sardhana,Onion,1000,1250,1200
Uttar Pradesh,Meerut,Sardhana,Potato,1100,1200,1100
Uttrakhand,Dehradoon,Vikasnagar,Apple,1200,2500,2500
Uttrakhand,Dehradoon,Vikasnagar,Banana,1000,1500,1500
Uttrakhand,Dehradoon,Vikasnagar,Bhindi(Ladies Finger),1800,3000,3000
Uttrakhand,Dehradoon,Vikasnagar,Bottle gourd,1800,3000,3000
Uttrakhand,Dehradoon,Vikasnagar,Brinjal,1800,3000,3000
Uttrakhand,Dehradoon,Vikasnagar,Cucumbar(Kheera),900,2000,2000
Uttrakhand,Dehradoon,Vikasnagar,Green Chilli,3500,7000,7000
Uttrakhand,Dehradoon,Vikasnagar,Jack Fruit,600,1800,1800
Uttrakhand,Dehradoon,Vikasnagar,Mango,400,1100,1100
Uttrakhand,Dehradoon,Vikasnagar,Onion,700,1600,1600
Uttrakhand,Dehradoon,Vikasnagar,Potato,500,1300,1300
Uttrakhand,Dehradoon,Vikasnagar,Pumpkin,1200,2000,2000
Uttrakhand,Dehradoon,Vikasnagar,Sponge gourd,1200,2500,2500
Uttrakhand,Dehradoon,Vikasnagar,Tomato,2000,6500,4000
Uttrakhand,Haridwar,Roorkee,Bhindi(Ladies Finger),800,1500,1300
Uttrakhand,Haridwar,Roorkee,Bottle gourd,500,700,600
Uttrakhand,Haridwar,Roorkee,Brinjal,500,800,700
Uttrakhand,Haridwar,Roorkee,Cucumbar(Kheera),800,1200,1000
Uttrakhand,Haridwar,Roorkee,Green Chilli,2000,3000,2500
Uttrakhand,Haridwar,Roorkee,Mango,800,1500,1300
Uttrakhand,Haridwar,Roorkee,Mousambi(Sweet Lime),1500,2500,2000
Uttrakhand,Haridwar,Roorkee,Onion,1200,1800,1400
Uttrakhand,Haridwar,Roorkee,Papaya,1500,2500,2000
Uttrakhand,Haridwar,Roorkee,Pomegranate,3000,5000,4000
Uttrakhand,Haridwar,Roorkee,Potato,800,1400,1200
Uttrakhand,Haridwar,Roorkee,Pumpkin,400,600,500
Uttrakhand,Haridwar,Roorkee,Tomato,2500,4000,3500
Andhra Pradesh,Chittor,Palamaner,Green Chilli,8000,10000,9000
Andhra Pradesh,Cuddapah,Cuddapah,Groundnut,6269,7416,7036
Andhra Pradesh,Cuddapah,Cuddapah,Turmeric,4888,9745,8650
Andhra Pradesh,Cuddapah,Cuddapah,Turmeric,5748,10025,9665
Andhra Pradesh,East Godavari,Karapa,Paddy(Dhan)(Common),2040,2060,2050
Andhra Pradesh,East Godavari,Rajahmundry,Paddy(Dhan)(Common),2040,2040,2040
Andhra Pradesh,East Godavari,Rajahmundry,Paddy(Dhan)(Common),2060,2060,2060
Andhra Pradesh,East Godavari,Sampara,Paddy(Dhan)(Common),2000,2080,2040
Andhra Pradesh,Guntur,Tenali,Black Gram (Urd Beans)(Whole),8100,8300,8200
Andhra Pradesh,Guntur,Tenali,Lemon,1500,3500,2500
Andhra Pradesh,Kurnool,Alur,Jowar(Sorghum),3030,3090,3060
Andhra Pradesh,Kurnool,Atmakur,Maize,1962,1962,1962
Andhra Pradesh,Kurnool,Atmakur,Paddy(Dhan)(Common),2040,2040,2040
Andhra Pradesh,Kurnool,Nandikotkur,Bengal Gram(Gram)(Whole),5335,5335,5335
Andhra Pradesh,Kurnool,Nandikotkur,Maize,1962,1962,1962
Andhra Pradesh,Kurnool,Nandikotkur,Paddy(Dhan)(Common),2040,2040,2040
Andhra Pradesh,Visakhapatnam,Anakapally,Gur(Jaggery),3850,3850,3850
Andhra Pradesh,Visakhapatnam,Anakapally,Gur(Jaggery),3750,3750,3750
Bihar,Kishanganj,Bahadurganj,Apple,9000,9500,9400
Bihar,Kishanganj,Bahadurganj,Banana,2400,2600,2500
Bihar,Kishanganj,Bahadurganj,Bhindi(Ladies Finger),2000,2200,2100
Bihar,Kishanganj,Bahadurganj,Brinjal,2800,3000,2900
Bihar,Kishanganj,Bahadurganj,Green Chilli,4000,4500,4300
Bihar,Kishanganj,Bahadurganj,Onion,1800,2000,1900
Bihar,Kishanganj,Bahadurganj,Pointed gourd (Parval),2200,2400,2300
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Apple,10000,25000,20000
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Bottle gourd,1000,2500,2200
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Cauliflower,1000,3000,2500
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Cucumbar(Kheera),800,1500,1200
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Ginger(Green),7000,12000,12000
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Green Chilli,2000,4000,3500
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Lemon,1500,2500,2200
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Mango,1000,4000,3000
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Mousambi(Sweet Lime),3000,4500,4000
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Onion,800,1800,1500
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Peas Wet,4000,8000,6000
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Plum,3000,5000,4000
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Pomegranate,8000,12000,10000
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Potato,400,1400,1200
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Pumpkin,500,1000,800
Chattisgarh,Balodabazar,Kasdol,Paddy(Dhan)(Common),1350,1360,1355
Chattisgarh,Bijapur,Bharamgarh,Tamarind Seed,3000,3200,3100
Chattisgarh,Bijapur,Bhopalpattnam,Tamarind Seed,3000,3200,3100
Chattisgarh,Bijapur,Bijapur,Tamarind Seed,3000,3200,3100
Chattisgarh,Bilaspur,Takhatpur,Lak(Teora),3200,3200,3200
Chattisgarh,Bilaspur,Tiphra,Apple,13000,13500,13300
Chattisgarh,Bilaspur,Tiphra,Banana,3000,3300,3200
Chattisgarh,Bilaspur,Tiphra,Beetroot,2000,2500,2300
Chattisgarh,Bilaspur,Tiphra,Bhindi(Ladies Finger),4500,4700,4600
Chattisgarh,Bilaspur,Tiphra,Bitter gourd,2400,2600,2500
Chattisgarh,Bilaspur,Tiphra,Bottle gourd,1100,1300,1200
Chattisgarh,Bilaspur,Tiphra,Brinjal,2800,3000,2900
Chattisgarh,Bilaspur,Tiphra,Cabbage,900,1100,1000
Chattisgarh,Bilaspur,Tiphra,Capsicum,5000,5200,5100
Chattisgarh,Bilaspur,Tiphra,Cauliflower,2400,2600,2500
Chattisgarh,Bilaspur,Tiphra,Cluster beans,3500,3700,3600
Chattisgarh,Bilaspur,Tiphra,Drumstick,2000,2200,2100
Chattisgarh,Bilaspur,Tiphra,Green Chilli,4200,4500,4400
Chattisgarh,Bilaspur,Tiphra,Lemon,2200,2400,2300
Chattisgarh,Bilaspur,Tiphra,Mango,4200,4400,4300
Chattisgarh,Bilaspur,Tiphra,Onion,1100,1300,1200
Chattisgarh,Bilaspur,Tiphra,Orange,3300,3500,3400
Chattisgarh,Bilaspur,Tiphra,Papaya,2000,2200,2100
Chattisgarh,Bilaspur,Tiphra,Pomegranate,17000,17200,17100
Chattisgarh,Bilaspur,Tiphra,Potato,1400,1600,1500
Chattisgarh,Bilaspur,Tiphra,Pumpkin,900,1100,1000
Chattisgarh,Bilaspur,Tiphra,Raddish,1500,1700,1600
Chattisgarh,Bilaspur,Tiphra,Spinach,2500,2800,2600
Chattisgarh,Dhamtari,Belarbahara,Paddy(Dhan)(Common),1500,1500,1500
Chattisgarh,Dhamtari,Boraee,Maize,2000,2000,2000
Chattisgarh,Dhamtari,Boraee,Paddy(Dhan)(Common),1500,1550,1500
Chattisgarh,Dhamtari,Gattasilli,Paddy(Dhan)(Common),1550,1550,1550
Chattisgarh,Dhamtari,Nagari,Paddy(Dhan)(Common),1800,1800,1800
Chattisgarh,Kabirdham,Kawardha,Soyabean,4491,4511,4497
Chattisgarh,Kabirdham,Kawardha,Wheat,2200,2200,2200
Chattisgarh,Kanker,Bhanupratappur,Maize,1500,1600,1550
Chattisgarh,Kanker,Charama,Paddy(Dhan)(Common),1900,2100,2000
Chattisgarh,Kanker,Korar,Maize,1500,1600,1550
Chattisgarh,Kanker,Lakhanpuri,Paddy(Dhan)(Common),1900,2100,2000
Chattisgarh,Kanker,Narharpur,Paddy(Dhan)(Common),1900,2100,2000
Chattisgarh,Kanker,Sambalpur,Mahua Seed(Hippe seed),2500,2500,2500
Chattisgarh,Kanker,Sambalpur,Paddy(Dhan)(Common),1500,1500,1500
Chattisgarh,Koria,Baikunthpur,Mahua,3100,3100,3100
Chattisgarh,Koria,Baikunthpur,Maize,1965,1965,1965
Chattisgarh,Koria,Baikunthpur,Wheat,2130,2130,2130
Chattisgarh,Mungeli,Lormi,Paddy(Dhan)(Common),1800,1850,1820
Chattisgarh,Mungeli,Sargaon,Paddy(Dhan)(Common),1700,1875,1770
Chattisgarh,Raigarh,Raigarh,Onion,1500,2200,1800
Chattisgarh,Raigarh,Raigarh,Potato,1300,2000,1600
Chattisgarh,Raigarh,Raigarh,Tomato,9500,10000,9500
Chattisgarh,Raipur,Abhanpur,Paddy(Dhan)(Common),2100,2100,2100
Chattisgarh,Rajnandgaon,Rajnandgaon,Apple,14000,18000,16000
Chattisgarh,Rajnandgaon,Rajnandgaon,Banana,3000,6000,4500
Chattisgarh,Rajnandgaon,Rajnandgaon,Bhindi(Ladies Finger),2000,3000,2500
Chattisgarh,Rajnandgaon,Rajnandgaon,Bitter gourd,2400,2800,2600
Chattisgarh,Rajnandgaon,Rajnandgaon,Brinjal,1900,2500,2200
Chattisgarh,Rajnandgaon,Rajnandgaon,Cabbage,1200,1600,1400
Chattisgarh,Rajnandgaon,Rajnandgaon,Capsicum,4500,5500,5000
Chattisgarh,Rajnandgaon,Rajnandgaon,Lemon,2000,3000,2500
Chattisgarh,Rajnandgaon,Rajnandgaon,Mango,5000,7000,6000
Chattisgarh,Rajnandgaon,Rajnandgaon,Onion,1600,2000,1800
Chattisgarh,Rajnandgaon,Rajnandgaon,Potato,1400,1800,1600
Chattisgarh,Rajnandgaon,Rajnandgaon,Raddish,1200,1600,1400
Chattisgarh,Surajpur,Pratappur,Maize,2000,2000,2000
Chattisgarh,Surajpur,Surajpur,Maize,1965,1965,1965
Gujarat,Amreli,Amreli,Arhar (Tur/Red Gram)(Whole),4000,8255,8250
Gujarat,Amreli,Amreli,Bengal Gram(Gram)(Whole),3255,4975,4900
Gujarat,Amreli,Amreli,Castor Seed,5850,6110,6000
Gujarat,Amreli,Amreli,Corriander seed,4250,8060,6690
Gujarat,Amreli,Amreli,Cotton,4500,7300,6895
Gujarat,Amreli,Amreli,Green Gram (Moong)(Whole),7100,7500,7500
Gujarat,Amreli,Amreli,Ground Nut Seed,10150,11975,11150
Gujarat,Amreli,Amreli,Groundnut,5750,9015,8510
Gujarat,Amreli,Amreli,Groundnut,6500,8650,8170
Gujarat,Amreli,Amreli,Groundnut (Split),7375,10150,9850
Gujarat,Amreli,Amreli,Jowar(Sorghum),4200,4635,4375
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",13310,17325,16250
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",17250,17405,17380
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",8500,18000,17000
Gujarat,Amreli,Amreli,Soyabean,3500,4750,4700
Gujarat,Amreli,Amreli,Wheat,2490,2580,2555
Gujarat,Amreli,Amreli,Wheat,2305,2790,2480
Gujarat,Amreli,Babra,Cotton,7025,7325,7175
Gujarat,Amreli,Babra,Groundnut,6175,6875,6825
Gujarat,Amreli,Bagasara,Arhar (Tur/Red Gram)(Whole),8525,8525,8525
Gujarat,Amreli,Bagasara,Bengal Gram(Gram)(Whole),4275,4900,4585
Gujarat,Amreli,Bagasara,Corriander seed,6050,6975,6510
Gujarat,Amreli,Bagasara,Cotton,5000,6700,5850
Gujarat,Amreli,Bagasara,Jowar(Sorghum),2100,4625,3360
Gujarat,Amreli,Damnagar,Bhindi(Ladies Finger),3500,4000,3750
Gujarat,Amreli,Damnagar,Brinjal,3250,4050,3700
Gujarat,Amreli,Damnagar,Cabbage,1400,2000,1850
Gujarat,Amreli,Damnagar,Cauliflower,6500,7000,6850
Gujarat,Amreli,Damnagar,Coriander(Leaves),6300,7000,6750
Gujarat,Amreli,Damnagar,Ginger(Green),13000,16000,15500
Gujarat,Amreli,Damnagar,Green Chilli,3450,4000,3800
Gujarat,Amreli,Damnagar,Guar,6400,7000,6750
Gujarat,Amreli,Damnagar,Lemon,1250,2000,1600
Gujarat,Amreli,Damnagar,Tomato,10000,13000,12500
Gujarat,Amreli,Savarkundla,Bajra(Pearl Millet/Cumbu),1800,2205,2003
Gujarat,Amreli,Savarkundla,Bengal Gram(Gram)(Whole),4300,4885,4593
Gujarat,Amreli,Savarkundla,Cotton,6450,7355,6903
Gujarat,Amreli,Savarkundla,Groundnut,7000,7815,7408
Gujarat,Amreli,Savarkundla,Jowar(Sorghum),2500,4700,3600
Gujarat,Amreli,Savarkundla,"Sesamum(Sesame,Gingelly,Til)",13500,16650,15075
Gujarat,Amreli,Savarkundla,"Sesamum(Sesame,Gingelly,Til)",15000,18200,16600
Gujarat,Amreli,Savarkundla,Wheat,2350,2655,2503
Gujarat,Amreli,Savarkundla,Wheat,2300,2620,2460
Gujarat,Banaskanth,Deesa,Bajra(Pearl Millet/Cumbu),1755,2392.5,2225
Gujarat,Banaskanth,Deesa,Castor Seed,6226.25,6366.25,6325
Gujarat,Banaskanth,Deesa,Groundnut,6255,7355,7000
Gujarat,Banaskanth,Deesa,Guar Seed(Cluster Beans Seed),5280,5925,5750
Gujarat,Banaskanth,Deesa,Mustard,5155,5425,5305
Gujarat,Banaskanth,Deesa,Wheat,2105,2195,2175
Gujarat,Banaskanth,Deesa(Bhildi),Bajra(Pearl Millet/Cumbu),2000,2410,2250
Gujarat,Banaskanth,Deesa(Bhildi),Castor Seed,6305,6355,6350
Gujarat,Banaskanth,Deesa(Bhildi),Rajgir,11500,12175,12000
Gujarat,Banaskanth,Deesa(Bhildi),Wheat,2150,2210,2200
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Apple,21000,22500,21750
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Banana,2750,3400,3075
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Bhindi(Ladies Finger),1500,2200,1850
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Bottle gourd,1750,2050,1900
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Brinjal,3000,3700,3350
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Cabbage,2000,2650,2325
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Cauliflower,3500,4000,3750
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Chikoos(Sapota),8000,9000,8500
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Coriander(Leaves),7000,8000,7500
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Cucumbar(Kheera),1000,1650,1325
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Gram Raw(Chholia),8000,9050,8525
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Green Chilli,5000,6250,5625
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Guar,7000,8250,7625
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Lemon,2500,3150,2825
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Mousambi(Sweet Lime),1250,5150,3200
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Onion,700,1350,1025
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Onion Green,4000,4600,4300
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Orange,11000,12150,11575
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Pointed gourd (Parval),3500,4000,3750
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Pomegranate,10000,11250,10625
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Potato,500,1300,900
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Ridgeguard(Tori),3500,4500,4000
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Tomato,9000,10350,9675
Gujarat,Banaskanth,Dhanera,Bajra(Pearl Millet/Cumbu),1615,2755,2185
Gujarat,Banaskanth,Dhanera,Castor Seed,6250,6400,6325
Gujarat,Banaskanth,Dhanera,Guar Seed(Cluster Beans Seed),5700,5700,5700
Gujarat,Banaskanth,Dhanera,Methi Seeds,6855,6855,6855
Gujarat,Banaskanth,Dhanera,Mustard,5150,5375,5260
Gujarat,Banaskanth,Dhanera,Wheat,2030,2030,2030
Gujarat,Banaskanth,Palanpur,Bajra(Pearl Millet/Cumbu),1755,2255,2005
Gujarat,Banaskanth,Palanpur,Castor Seed,6280,6370,6325
Gujarat,Banaskanth,Palanpur,Groundnut,6255,7700,6977
Gujarat,Banaskanth,Palanpur,Mustard,5105,5405,5255
Gujarat,Banaskanth,Palanpur,Rajgir,11955,12125,12040
